Fecha,Categoria,Producto,Precio_ARS,Precio_USD,Dolar_ARS
2026-03-03,Tortas y Postres,TARTA BLANCA DE RICOTA,42.0,0.03,1435.0
2026-03-03,Tortas y Postres,ALVEAR,42.0,0.03,1435.0
2026-03-03,Tortas y Postres,SAINT HONORE,45.0,0.03,1435.0
2026-03-03,Tortas Individuales,LEMON PIE,6.0,0.0,1435.0
2026-03-03,Tortas Individuales,TARTA DE FRUTAS DE ESTACION,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,TORTELL,49.0,0.03,1435.0
2026-03-03,Tortas Individuales,POSTRE NURIA,6.0,0.0,1435.0
2026-03-03,Tortas Individuales,TARTA TOFFI,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,TARTA BROWNIE,45.0,0.03,1435.0
2026-03-03,Tortas Individuales,GANACHE DE CHOCOLATE,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,COMBINADO,42.0,0.03,1435.0
2026-03-03,Tortas Individuales,MIL HOJAS,5.6,0.0,1435.0
2026-03-03,Tortas y Postres,TORTA DE NUEZ Y CHOCOLATE,42.0,0.03,1435.0
2026-03-03,Tortas y Postres,CHEESECAKE DE LIMON,5.7,0.0,1435.0
2026-03-03,Tortas y Postres,KROCCO MILK,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,FILETEADO,42.0,0.03,1435.0
2026-03-03,Tortas y Postres,BAVAROIS DE LIMÓN,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,TIRAMISU,5.7,0.0,1435.0
2026-03-03,Tortas y Postres,STRACIATELLA DULCE DE LECHE,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,ARROLLADO DE DULCE DE LECHE,19.5,0.01,1435.0
2026-03-03,Tortas y Postres,ARROLLADO DE CHANTILLY,19.5,0.01,1435.0
2026-03-03,Tortas y Postres,APPLE PIE,31.3,0.02,1435.0
2026-03-03,Tortas y Postres,GANACHE DE FRUTILLAS,45.0,0.03,1435.0
2026-03-03,Tortas y Postres,TARTA DE FRUTAS SECAS,6.0,0.0,1435.0
2026-03-03,Tortas y Postres,POSTRE DE LECHE,42.0,0.03,1435.0
